IMPORTANT DETAIL,
"In order to insert a suggestion that uses a PivotTable or formula, your data was organized in columns with a single header row.",
,
,
,Field1
,439105.1922
,158277.1178
,117734.8313
,96973.74493
,94360.19217
,87351.16578
,84276.89804
,80636.62254
,56095.43749
,53222.44899
,45846.1054
,44017.78108
,43362.02251
,41732.82562
,39875.37829
,39751.16615
,39054.26188
,37438.74029
,37328.00201
,36515.39572
,36425.87738
,36260.31623
,35199.28163
,34888.47819
,33612.76556
,33556.38053
,32568.80821
,30604.50738
,30590.31151
,30263.60311
,29944.0647
,28310.70588
,27912.03712
,27197.34131
,27022.25839
,26835.68288
,25979.05574
,25885.08245
,25556.93221
,25107.31058
,25045.32251
,24934.0281
,24724.01508
,24671.59025
,24493.27795
,24072.24441
,23403.68318
,23095.97895
,23041.09675
,22980.47282
,22487.21477
,22365.18394
,22186.4725
,22085.63455
,21979.71754
,21587.14772
,21493.38152
,21020.20993
,19815.70394
,19800.86664
,19219.00566
,19001.72994
,18866.95911
,18771.4053
,18252.96581
,18123.55179
,18102.39633
,17699.47743
,16743.34548
,16653.72468
,16364.8708
,16296.86302
,16204.75202
,15221.25838
,15193.24542
,14942.90367
,14511.96435
,14148.6589
,14061.05705
,13994.83468
,13955.34934
,13876.89946
,13761.39706
,13718.80866
,13301.52239
,13268.43634
,13184.62576
,13130.76561
,12905.00301
,12694.35849
,12624.0592
,12409.02997
,12331.52837
,12219.46073
,12095.64842
,12083.78817
,12017.68066
,12010.88869
,11950.55851
,11901.23685
,11823.00818
,11650.85665
,11507.39705
,11422.35486
,11382.9584
,11289.51883
,11234.0393
,11169.4499
,11139.64595
,10976.53986
,10946.21137
,10629.11511
,10578.84006
,10575.75097
,10532.5364
,10382.69363
,10294.7403
,10258.32752
,10234.50164
,10193.44444
,10055.66169
,9985.036717
,9904.327066
,9788.777093
,9784.47242
,9743.070369
,9699.715875
,9615.126768
,9570.815673
,9564.134536
,9497.45553
,9347.979307
,9318.809205
,9280.614728
,9245.661222
,9198.581961
,9187.737832
,9180.060683
,9130.532809
,9081.012855
,9012.185385
,8988.837594
,8982.967457
,8958.623397
,8935.53067
,8896.654688
,8881.504826
,8866.326199
,8861.556608
,8698.206435
,8573.400111
,8568.160905
,8341.114622
,8336.323039
,8147.104563
,8035.004192
,8010.556279
,7964.38531
,7953.796203
,7946.356356
,7938.241095
,7809.29526
,7806.806171
,7791.054626
,7781.110264
,7706.039089
,7703.776724
,7638.522819
,7628.113752
,7558.437637
,7552.153394
,7526.771399
,7518.780635
,7377.280537
,7375.78664
,7329.041863
,7326.583664
,7256.861251
,7238.751672
,7161.90234
,7117.836903
,7109.807839
,7078.145124
,7045.1216
,7039.424962
,7018.318802
,7003.506388
,6912.16671
,6893.027116
,6868.429154
,6867.790933
,6818.73033
,6797.690716
,6792.198134
,6787.700563
,6745.241705
,6708.229359
,6690.630156
,6686.444346
,6657.709641
,6603.690074
,6586.955735
,6572.184805
,6504.820532
,6490.320439
,6473.494927
,6338.993492
,6323.730189
,6320.573488
,6320.228422
,6284.632803
,6243.205745
,6235.002569
,6234.132946
,6225.004424
,6212.428643
,6201.459937
,6174.66478
,6168.413357
,6167.70636
,6161.84696
,6131.41026
,6120.822443
,6103.440484
,6081.498134
,6081.037117
,6066.293283
,6022.000122
,6008.958173
,6006.309979
,5990.869086
,5941.201763
,5937.676012
,5881.466916
,5880.568167
,5868.860496
,5847.199354
,5809.742134
,5791.19051
,5748.596561
,5725.108097
,5710.953334
,5703.454727
,5702.114372
,5702.065093
,5699.093046
,5693.163888
,5690.146635
,5688.762304
,5652.817565
,5608.556889
,5594.551418
,5561.240882
,5559.40356
,5521.710743
,5513.319517
,5493.473769
,5490.217398
,5479.422273
,5472.760796
,5471.43435
,5460.560988
,5446.339336
,5427.346507
,5406.81983
,5405.24018
,5402.251457
,5401.143726
,5377.112221
,5349.6081
,5325.036257
,5308.340176
,5306.804886
,5301.274478
,5287.698246
,5277.763578
,5274.90216
,5271.055172
,5257.52581
,5248.105314
,5235.54203
,5221.273407
,5193.317679
,5188.860384
,5184.31967
,5163.17668
,5089.569084
,5089.48721
,5086.846637
,5032.839618
,5008.982065
,4995.621365
,4995.404743
,4991.565382
,4957.034394
,4951.132545
,4939.391827
,4866.377725
,4851.13303
,4834.581475
,4826.623501
,4802.403432
,4801.062532
,4780.744984
,4769.368403
,4756.816681
,4751.226256
,4721.294053
,4698.461916
,4632.615399
,4614.15525
,4605.093676
,4596.709756
,4583.640503
,4561.741541
,4500.165699
,4484.645011
,4474.495491
,4469.769641
,4467.631796
,4453.697348
,4445.765794
,4442.591785
,4437.855131
,4403.932287
,4401.442871
,4392.298764
,4388.944719
,4388.246426
,4358.470013
,4357.412663
,4336.876409
,4324.432125
,4286.585227
,4270.199846
,4256.181923
,4247.647823
,4206.180535
,4172.691003
,4167.686104
,4167.257334
,4166.811176
,4107.309328
,4089.683472
,4087.269555
,4070.833636
,4063.027897
,4062.079714
,4060.607234
,4052.360711
,4051.42478
,4035.980426
,4025.797257
,4025.720625
,4015.16699
,4012.699624
,3992.844754
,3958.862971
,3950.928981
,3914.310921
,3913.398659
,3900.971806
,3899.657429
,3897.031464
,3885.689209
,3879.696691
,3862.441673
,3858.962365
,3830.0249
,3822.775982
,3813.197936
,3810.05423
,3808.996895
,3794.934177
,3766.322895
,3754.089495
,3747.312964
,3735.693073
,3710.43136
,3707.372838
,3700.114091
,3689.117892
,3683.054201
,3679.382192
,3673.30674
,3665.563183
,3665.430184
,3643.422759
,3611.12746
,3589.932083
,3584.113778
,3576.013684
,3572.27537
,3523.671567
,3520.158995
,3469.668337
,3432.700286
,3429.253828
,3422.101581
,3414.55698
,3400.340074
,3387.09827
,3385.452104
,3380.357595
,3364.872166
,3361.056391
,3354.798642
,3333.386979
,3332.143551
,3324.665339
,3317.761905
,3303.531829
,3297.809665
,3290.615913
,3289.026271
,3283.485327
,3272.584527
,3250.487827
,3247.605117
,3240.885597
,3237.137509
,3235.551208
,3208.329838
,3200.700463
,3185.125634
,3184.385915
,3182.907206
,3168.224583
,3151.394481
,3144.674348
,3136.377306
,3104.098656
,3081.343238
,3079.011693
,3074.600372
,3073.929466
,3044.662972
,3038.82693
,3028.280285
,3018.556867
,3007.62778
,3004.771642
,2982.252809
,2980.060451
,2972.076561
,2969.321763
,2968.731137
,2961.004122
,2950.115595
,2938.592342
,2919.424244
,2914.451647
,2910.258169
,2857.354461
,2802.214281
,2792.65343
,2790.505376
,2772.374607
,2770.715674
,2770.283646
,2746.033557
,2733.979537
,2687.159761
,2678.665223
,2673.369546
,2659.145621
,2628.647269
,2628.460392
,2627.728609
,2579.747398
,2562.773943
,2561.958313
,2552.313316
,2546.648831
,2530.239195
,2530.228116
,2491.030516
,2489.254195
,2464.378866
,2457.055492
,2452.919306
,2437.267298
,2421.988286
,2419.249464
,2408.477617
,2389.811117
,2384.454515
,2369.450531
,2348.246949
,2340.151513
,2271.445635
,2242.199851
,2237.630367
,2237.548831
,2218.821134
,2205.817575
,2203.77615
,2190.714203
,2186.999808
,2159.631148
,2157.171612
,2128.129053
,2116.364717
,2077.751708
,2075.553354
,2035.587599
,2027.226934
,1967.099394
,1937.215731
,1935.527832
,1928.530648
